Sample,species,location,pk11,pk14,pk16,pk19,pk22,pk24,pk26,pk30,pk36,pk44,pk51,pk57,pk61,pk65,pk66,pk67,pk70,pk73,pk74,pk77,pk80,pk82,pk83,pk84,pk86,pk87,pk88,pk92,pk94,Total
13,Asclepias_curassavica,Guam,0,0,0.4804,0,0,0,0,0.0413,0,0,0,0,0,0,0.4424,0,0,0,0,0.0248,0.1093,0,0,0.1746,0,0,0,0.5216,0.0517,1.846
14,Asclepias_curassavica,Guam,0,0,0.4359,0,0.0885,0,0,0,0.1108,0.3133,0,0.1965,0,0,0.6796,0,0,0,0,0,0,0,0,0,0,0,0,0.676,0,2.5006
15,Asclepias_curassavica,Guam,0,0,0.663,0,0.0918,0,0,0.0631,0,0.2677,0.2869,0.1799,0,0,0.2662,0.0524,0,0,0,0,0.6218,0,0.0548,0.2445,0,0.0131,0.0969,0.605,0,3.5071
16,Asclepias_curassavica,Guam,0,0,0,0,0,0,0,0,0,0,0.2088,0.2441,0.0358,0.2572,0.0352,0,0,0,0,0,0.4959,0,0,0,0,0,0,0.8874,0,2.1644
17,Asclepias_curassavica,Guam,0,0,0.4283,0,0,0,0,0.0817,0,0.1037,0,0,0,0,0,0,0,0,0,0,0.1836,0.0531,0,0.2229,0,0,0,0,0,1.0732
18,Asclepias_curassavica,Guam,0.9169,0,1.953,0,0.2238,0,0,0,0,0.6241,0.5296,0.307,0,0.8297,0,0,0.0579,0.0207,0.0438,0.1234,1.454,0.1143,0,0.3069,0.0961,0,0.2331,0.6863,0.5463,9.0669
19,Asclepias_curassavica,Guam,0.5623,0,0.7497,0,0,0,0,0.0933,0,0.2997,0.2312,0.1945,0,0.2757,0,0,0,0,0,0.0278,0.9566,0.0705,0,0.2977,0.0155,0.0944,0,0.5082,0,4.3771
20,Asclepias_curassavica,Guam,0,0,0.4896,0,0,0.0247,0,0.0479,0,0.2539,0,0,0,0,0,0,0,0,0,0.0594,0.301,0.0625,0,0.1896,0.0698,0.0321,0,0.5724,0.1965,2.2996
21,Asclepias_curassavica,Guam,2.6241,0,1.5749,0,0.4086,0,0,0,0,0.9931,0.9733,0.3026,0,0.2292,0.0504,0,0,0,0,0.0658,1.4869,0.0527,0.3626,0,0.0453,0.2743,0.0437,0.9224,0,10.4098
22,Asclepias_curassavica,Guam,0,0,0.5165,0,0.0327,0,0,0.0984,0,0.2752,0,0,0,0,0.418,0.0488,0,0,0,0.0893,0.274,0,0.0819,0.3384,0.1203,0,0.0261,0.9991,0.349,3.6677
23,Asclepias_curassavica,Guam,0,0,0.5207,0,0,0,0,0.0774,0,0.3381,0,0.1901,0,0,0.4219,0.1312,0,0,0,0.0681,0.3115,0,0.0506,0.3285,0,0,0.0581,0.4691,0.3592,3.3243
24,Asclepias_curassavica,Guam,0.6129,0,0.6861,0,0.1309,0,0,0,0,0.3419,0,0.289,0,0,0.8372,0,0,0,0.0104,0.0829,0.545,0.1089,0,0.3382,0,0.0588,0.0845,0.6876,0.3808,5.1951
25,Asclepias_curassavica,Rota,0.2484,0,0.6539,0,0.2466,0,0,0,0,0,0,0.1338,0,0.3487,0,0,0,0,0,0.0365,0.2592,0.0856,0.1933,0,0.0394,0,0,0.532,0,2.7775
26,Asclepias_curassavica,Rota,0,0,0.5156,0,0.1149,0,0,0.0542,0,0.1042,0,0,0,0,0.3045,0.0599,0,0,0,0,0.556,0.0659,0,0.2975,0,0,0,0.5895,0.0906,2.7529
27,Asclepias_curassavica,Rota,0,0,0.2767,0,0,0,0,0,0,0.0665,0,0,0,0.3762,0,0,0,0,0.0201,0.057,0.1603,0.086,0.1571,0,0.0466,0.0093,0,0.2767,0,1.5325
28,Asclepias_curassavica,Rota,0.1471,0,0.5612,0,0.1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3658,0,0.0688,0.1584,0,0,0,0.2452,0.0751,1.7652
29,Asclepias_curassavica,Rota,0.9965,0,0.4382,0,0.0809,0,0,0,0,0.4298,0.1346,0,0,0.4017,0.1533,0,0.0242,0,0,0.063,0.9338,0.0575,0.2971,0,0,0.159,0,0.6112,0,4.7809
30,Asclepias_curassavica,Guam,0.3878,0,0.4006,0,0,0,0,0,0,0.318,0,0,0,0,0.3196,0,0,0,0,0,0.2108,0,0.0585,0.1177,0,0,0,0.2758,0,2.0887
33,Calotropis_gigantea,Saipan,0,0.2518,0,0,0.3817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6336
34,Calotropis_gigantea,Saipan,0,0.9048,0.0812,0,0.07,0,0,0.0864,0,0,0,0.1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3062,0,1.5889
35,Calotropis_gigantea,Saipan,0.5957,0,0.5105,0,0.152,0,0,0,0,0.2374,0,0,0.0619,0.1079,0.0147,0,0,0,0,0,0.752,0,0,0,0,0,0,0.1573,0,2.5894
44,Asclepias_californica,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Asclepias_californica,Davis,0,0,0,0.2561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2561
46,Asclepias_californica,Davis,0,0,0,0,0,0,0.0373,0,0,0,0,0,0,0,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538